lon,lat,name,lon_offset,lat_offset
13,56,CIC,40,0
13,56,DMI,10,25
175,-41,VUW,-10,20
151,-34,UNSW,-40,-30
0,52,CAM,-30,-30
-77,47,Dickinson,-100,-50
8.5,47,ETH,-30,-60
13,52,PIK,20,-20
116.4,39.91,PKU,-20,-35
-91,30,LSU,-10,-30
8.5,53.5,AWI,60,-15
-22,64,UI,-40,15
-69,45,UMaine,-10,18
-148,65,UAF,20,10
5,60,UIB,-40,20
-72.93,41.31,Yale,-30,-85
5,52,IMAU,0,-40
-2,55,DUR,-45,-15
-71.12,42.37,Harvard,-10,-65
-122,47,UW,-40,-20
10,54,MPI,-15,30
-123,54,UNBC,-60,-5
18,59,INK,40,20
-87.6,42,UC,-40,-15
-1.6,55,Northumbria,0,0
-77.85,40.78,PSU,0,0
29,41,ITU,0,0
147.325,-42.88,UTAS,0,0
126.633,37.483,KOPRI,0,0

